ano,mes,id_municipio,regiao_ssp,homicidio_doloso,numero_de_vitimas_em_homicidio_doloso,homicidio_doloso_por_acidente_de_transito,numero_de_vitimas_em_homicidio_doloso_por_acidente_de_transito,homicidio_culposo_por_acidente_de_transito,homicidio_culposo_outros,tentativa_de_homicidio,lesao_corporal_seguida_de_morte,lesao_corporal_dolosa,lesao_corporal_culposa_por_acidente_de_transito,lesao_corporal_culposa_outras,latrocinio,numero_de_vitimas_em_latrocinio,total_de_estupro,estupro,estupro_de_vulneravel,total_de_roubo_outros,roubo_outros,roubo_de_veiculo,roubo_a_banco,roubo_de_carga,furto_outros,furto_de_veiculo
2021,1,3500402,Piracicaba,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021,2,3500402,Piracicaba,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0
2021,3,3500402,Piracicaba,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021,4,3500402,Piracicaba,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,6,0
2021,5,3500402,Piracicaba,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2021,6,3500402,Piracicaba,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,7,3500402,Piracicaba,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021,8,3500402,Piracicaba,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0
2021,9,3500402,Piracicaba,,,,,,,,,,,,,,,,,,,,,,,
2021,10,3500402,Piracicaba,,,,,,,,,,,,,,,,,,,,,,,
2021,11,3500402,Piracicaba,,,,,,,,,,,,,,,,,,,,,,,
2021,12,3500402,Piracicaba,,,,,,,,,,,,,,,,,,,,,,,
2021,1,3500105,Presidente Prudente,0,0,0,0,0,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,8,0
2021,2,3500105,Presidente Prudente,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,11,0
2021,3,3500105,Presidente Prudente,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,10,0
2021,4,3500105,Presidente Prudente,0,0,0,0,0,0,0,0,8,17,0,0,0,1,0,1,0,0,0,0,0,13,1
2021,5,3500105,Presidente Prudente,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,13,0
2021,6,3500105,Presidente Prudente,0,0,0,0,0,0,0,0,13,10,1,0,0,1,0,1,0,0,0,0,0,14,1
2021,7,3500105,Presidente Prudente,0,0,0,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,17,1
2021,8,3500105,Presidente Prudente,0,0,0,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,12,2
2021,9,3500105,Presidente Prudente,,,,,,,,,,,,,,,,,,,,,,,
2021,10,3500105,Presidente Prudente,,,,,,,,,,,,,,,,,,,,,,,
2021,11,3500105,Presidente Prudente,,,,,,,,,,,,,,,,,,,,,,,
2021,12,3500105,Presidente Prudente,,,,,,,,,,,,,,,,,,,,,,,
2021,1,3500303,Piracicaba,1,1,0,0,0,0,1,0,7,1,0,0,0,3,0,3,2,2,2,0,0,25,1
2021,2,3500303,Piracicaba,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,2,0,0,27,2
2021,3,3500303,Piracicaba,0,0,0,0,0,0,0,0,8,3,0,0,0,1,0,1,5,5,0,0,0,27,0
2021,4,3500303,Piracicaba,1,1,0,0,0,0,0,0,7,2,0,0,0,2,0,2,1,1,0,0,0,19,0
2021,5,3500303,Piracicaba,1,1,0,0,0,0,0,0,11,1,0,0,0,3,2,1,4,4,0,0,0,25,2
2021,6,3500303,Piracicaba,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,2,5,5,0,0,0,27,1
2021,7,3500303,Piracicaba,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,3,3,0,0,0,17,0
2021,8,3500303,Piracicaba,1,2,0,0,0,0,0,0,7,1,0,1,1,1,0,1,5,3,1,0,2,11,0
2021,9,3500303,Piracicaba,,,,,,,,,,,,,,,,,,,,,,,
2021,10,3500303,Piracicaba,,,,,,,,,,,,,,,,,,,,,,,
2021,11,3500303,Piracicaba,,,,,,,,,,,,,,,,,,,,,,,
2021,12,3500303,Piracicaba,,,,,,,,,,,,,,,,,,,,,,,
2021,1,3500709,Bauru,0,0,0,0,1,0,1,0,10,5,0,0,0,0,0,0,1,1,1,0,0,19,0
2021,2,3500709,Bauru,0,0,0,0,0,0,1,0,12,4,1,0,0,0,0,0,2,2,0,0,0,42,0
2021,3,3500709,Bauru,0,0,0,0,1,0,2,0,6,6,0,0,0,1,0,1,1,1,0,0,0,27,0
2021,4,3500709,Bauru,1,1,0,0,0,0,0,0,11,4,0,0,0,0,0,0,1,1,0,0,0,38,0
2021,5,3500709,Bauru,0,0,0,0,0,0,1,0,10,0,0,0,0,2,1,1,1,1,1,0,0,30,1
2021,6,3500709,Bauru,0,0,0,0,1,0,0,0,15,4,0,0,0,0,0,0,2,2,0,0,0,18,3
2021,7,3500709,Bauru,0,0,0,0,0,0,1,0,8,5,0,0,0,1,0,1,2,2,0,0,0,35,3
2021,8,3500709,Bauru,0,0,0,0,0,0,0,0,17,6,0,0,0,1,0,1,2,2,0,0,0,24,1
2021,9,3500709,Bauru,,,,,,,,,,,,,,,,,,,,,,,
2021,10,3500709,Bauru,,,,,,,,,,,,,,,,,,,,,,,
2021,11,3500709,Bauru,,,,,,,,,,,,,,,,,,,,,,,
2021,12,3500709,Bauru,,,,,,,,,,,,,,,,,,,,,,,
